iter	Passed	Remaining
490	543	563
491	545	563
492	546	562
493	547	560
494	548	559
495	548	557
496	549	556
497	550	554
498	551	553
499	552	552
500	552	550
501	553	549
502	554	547
503	555	546
504	555	544
505	556	543
506	557	541
507	560	542
508	561	541
509	562	540
510	562	538
511	563	537
512	564	535
513	584	552
514	585	551
515	586	550
516	587	548
517	588	547
518	589	546
519	593	548
520	594	546
521	596	545
522	597	544
523	598	543
524	599	542
525	600	541
526	618	555
527	620	554
528	621	553
529	624	553
530	625	552
531	626	551
532	629	551
533	630	550
534	631	549
535	633	547
536	634	546
537	635	545
538	636	544
539	646	551
540	648	549
541	649	548
542	650	547
543	651	546
544	660	551
545	661	549
546	662	548
547	663	547
548	664	545
549	665	544
550	666	543
551	667	542
552	674	544
553	676	544
554	677	543
555	678	541
556	679	540
557	680	538
558	681	537
559	682	535
560	683	534
561	684	533
562	689	535
563	690	533
564	691	532
565	696	533
566	697	532
567	698	531
568	699	529
569	710	536
570	712	534
571	713	533
572	714	532
573	715	530
574	716	529
575	720	530
576	721	529
577	722	527
578	725	527
579	727	526
580	728	525
581	754	542
582	757	542
583	759	540
584	760	539
585	761	537
586	762	536
587	763	535
588	764	533
589	767	533
590	769	532
591	770	530
592	772	530
593	773	528
594	774	526
595	774	525
596	775	523
597	776	522
598	778	520
599	782	521
600	783	520
601	787	520
602	788	519
603	789	517
604	790	515
605	791	514
606	791	512
607	792	511
608	815	523
609	816	522
610	818	520
611	819	519
612	821	518
613	822	516
614	823	515
615	824	513
616	825	512
617	826	510
618	830	510
619	831	509
620	831	507
621	832	505
622	833	504
623	834	502
624	834	500
625	835	499
626	836	497
627	836	495
628	838	494
629	839	492
630	839	491
631	840	489
632	841	487
633	843	487
634	844	485
635	845	483
636	846	482
637	846	480
638	847	478
639	848	477
640	849	475
641	849	473
642	850	472
643	851	470
644	852	469
645	852	467
646	853	465
647	854	464
648	855	462
649	855	460
650	856	459
651	857	457
652	858	456
653	859	454
654	860	453
655	861	451
656	861	449
657	862	448
658	863	446
659	863	445
660	864	443
661	865	441
662	866	440
663	867	438
664	867	437
665	868	435
666	869	433
667	869	432
668	870	430
669	872	429
670	873	428
671	874	426
672	874	425
673	875	423
674	876	421
675	877	420
676	877	418
677	878	417
678	879	415
679	880	414
680	881	412
681	881	411
682	882	409
683	883	408
684	884	406
685	884	405
686	885	403
687	888	402
688	888	401
689	889	399
690	890	398
691	891	396
692	891	395
693	892	393
694	893	392
695	894	390
696	895	389
697	895	387
698	896	386
699	897	384
700	898	383
701	898	381
702	899	380
703	900	378
704	902	377
705	903	376
706	904	374
707	905	373
708	906	371
709	907	370
710	907	368
711	908	367
712	909	365
713	909	364
714	910	362
715	911	361
716	912	359
717	912	358
718	913	357
719	914	355
720	914	354
721	915	352
722	917	351
723	918	350
724	919	348
725	920	347
726	920	345
727	921	344
728	922	342
729	923	341
730	923	339
731	924	338
732	925	337
733	926	335
734	926	334
735	927	332
736	928	331
737	929	329
738	929	328
739	930	327
740	933	326
741	934	324
742	934	323
743	935	321
744	936	320
745	937	319
746	938	317
747	938	316
748	939	314
749	940	313
750	941	312
751	942	310
752	942	309
753	943	307
754	944	306
755	944	304
756	945	303
757	946	302
758	948	301
759	949	299
760	949	298
761	950	296
762	951	295
763	952	294
764	952	292
765	953	291
766	954	289
767	954	288
768	955	287
769	956	285
770	957	284
771	957	282
772	958	281
773	959	280
774	959	278
775	960	277
776	961	275
777	963	274
778	964	273
779	965	272
780	965	270
781	966	269
782	967	268
783	968	266
784	968	265
785	969	263
786	970	262
787	970	261
788	971	259
789	972	258
790	973	257
791	973	255
792	974	254
793	975	253
794	975	251
795	976	250
796	978	249
797	979	247
798	980	246
799	981	245
800	981	243
801	982	242
802	983	241
803	983	239
804	984	238
805	985	237
806	986	235
807	987	234
808	988	233
809	988	231
810	989	230
811	990	229
812	991	228
813	994	227
814	994	225
815	995	224
816	996	223
817	997	221
818	998	220
819	999	219
820	1000	218
821	1001	216
822	1002	215
823	1002	214
824	1003	212
825	1004	211
826	1005	210
827	1007	209
828	1008	208
829	1009	206
830	1010	205
831	1011	204
832	1012	202
833	1013	201
834	1014	200
835	1015	199
836	1015	197
837	1016	196
838	1017	195
839	1017	193
840	1018	192
841	1019	191
842	1020	190
843	1021	188
844	1022	187
845	1023	186
846	1024	185
847	1025	183
848	1025	182
849	1026	181
850	1027	179
851	1028	178
852	1028	177
853	1029	176
854	1030	174
855	1031	173
856	1031	172
857	1032	170
858	1033	169
859	1033	168
860	1034	167
861	1035	165
862	1036	164
863	1038	163
864	1038	162
865	1039	160
866	1040	159
867	1041	158
868	1041	157
869	1042	155
870	1043	154
871	1043	153
872	1044	151
873	1045	150
874	1046	149
875	1046	148
876	1047	146
877	1048	145
878	1049	144
879	1049	143
880	1050	141
881	1051	140
882	1053	139
883	1054	138
884	1055	137
885	1056	135
886	1056	134
887	1057	133
888	1058	132
889	1059	130
890	1059	129
891	1060	128
892	1061	127
893	1062	125
894	1062	124
895	1063	123
896	1064	122
897	1065	121
898	1066	119
899	1068	118
900	1069	117
901	1070	116
902	1071	115
903	1073	113
904	1074	112
905	1075	111
906	1076	110
907	1078	109
908	1079	108
909	1081	106
910	1082	105
911	1083	104
912	1085	103
913	1086	102
914	1087	101
915	1088	99
916	1089	98
917	1091	97
918	1092	96
919	1093	95
920	1094	93
921	1097	92
922	1098	91
923	1100	90
924	1101	89
925	1102	88
926	1103	86
927	1105	85
928	1106	84
929	1108	83
930	1110	82
931	1112	81
932	1114	80
933	1115	78
934	1117	77
935	1120	76
936	1122	75
937	1126	74
938	1127	73
939	1128	72
940	1129	70
941	1131	69
942	1132	68
943	1133	67
944	1134	66
945	1135	64
946	1140	63
947	1144	62
948	1145	61
949	1147	60
950	1148	59
951	1149	57
952	1151	56
953	1152	55
954	1156	54
955	1159	53
956	1160	52
957	1174	51
958	1179	50
959	1181	49
960	1182	48
961	1192	47
962	1193	45
963	1195	44
964	1197	43
965	1198	42
966	1199	40
967	1207	39
968	1208	38
969	1210	37
970	1211	36
971	1212	34
972	1214	33
973	1220	32
974	1223	31
975	1224	30
976	1226	28
977	1228	27
978	1229	26
979	1233	25
980	1235	23
981	1240	22
982	1241	21
983	1243	20
984	1244	18
985	1252	17
986	1253	16
987	1259	15
988	1260	14
989	1281	12
990	1283	11
991	1284	10
992	1286	9
993	1289	7
994	1347	6
995	1348	5
996	1351	4
997	1352	2
998	1353	1
999	1354	0
